"ICAO","IATA","airport","city","nation"
"AGAF","AFT","阿富塔拉機場","阿富塔拉，馬萊塔省","所羅門群島"
"AGAT","ATD","烏魯港機場","Atoifi，馬萊塔島","所羅門群島"
"AGBT","BPF","Batuna機場","Batuna","所羅門群島"
"AGEV","GEF","Geva機場","維拉拉維拉島，西部省","所羅門群島"
"AGGA","AKS","奧基機場","奧基","所羅門群島"
"AGGB","BNY","貝羅納機場","拉納爾和貝羅納省貝羅納島","所羅門群島"
"AGGC","CHY","舒瓦瑟爾灣機場","舒瓦瑟爾灣","所羅門群島"
"AGGE","BAS","巴拉萊機場","西部省巴拉萊島","所羅門群島"
"AGGF","FRE","費拉機場","費拉島","所羅門群島"
"AGGJ","AVU","Avu Avu機場","Avu Avu","所羅門群島"
"AGGS","EGM","Seghe機場","Seghe，西部省","所羅門群島"
"AGGY","XYA","揚迪納機場","Yandina","索羅門群島"
"ANYN","INU","諾魯國際機場","亞倫","諾魯"
"AYAF","AFR","阿弗爾機場","阿弗爾","巴布亞新幾內亞"
"AYAN","ADC","安達坎貝機場","安達坎貝，東高地省","巴布亞新幾內亞"
"AYAX","AEK","阿薩基機場","阿薩基","巴布亞新幾內亞"
"AYBC","BCP","Bambu機場","Bambu","巴布亞新幾內亞"
"AYBD","BNM","Bodinumu機場","Bodinumu","巴布亞新幾內亞"
"AYBF","BMZ","Bamu機場","Bamu","巴布亞新幾內亞"
"AYBG","BDZ","Baindoung機場","Baindoung","巴布亞新幾內亞"
"AYBH","BSP","Bensbach機場","Bensbach，西部省","巴布亞新幾內亞"
"AYBI","BWP","貝瓦尼機場","桑道恩省 貝瓦尼","巴布亞新幾內亞"
"AYBK","BUA","布卡機場","布幹維爾自治區布卡島","巴布亞新幾內亞"
"AYBL","BAA","Bialla機場","Bialla","巴布亞新幾內亞"
"AYBO","BMH","Bomai機場","Bomai","巴布亞新幾內亞"
"AYBP","BPD","Bapi機場","Bapi","巴布亞新幾內亞"
"AYBQ","BPK","Biangabip機場","Biangabip，西部省","巴布亞新幾內亞"
"AYBR","BRP","Biaru機場","Biaru","巴布亞新幾內亞"
"AYBU","BUL","布洛洛機場","莫雷貝省布洛洛","巴布亞新幾內亞"
"AYCB","CVB","Chungrebu機場","Chungrebu","巴布亞新幾內亞"
"AYCG","CGC","告士打角機場","告士打角","巴布亞新幾內亞"
"AYCH","CMU","欽布機場","孔迪亞瓦，欽布省","巴布亞新幾內亞"
"AYDB","DBP","Debepare機場","Debepare","巴布亞新幾內亞"
"AYDE","DER","Derim機場","Derim","巴布亞新幾內亞"
"AYDI","BNT","本迪機場","本迪","巴布亞新幾內亞"
"AYDN","DNU","Dinangat機場","Dinangat","巴布亞新幾內亞"
"AYDO","DOI","Doini島機場","Doini島","巴布亞新幾內亞"
"AYDR","DOO","Dorobisoro機場","Dorobisoro","巴布亞新幾內亞"
"AYDU","DAU","達魯機場","達魯，西部省","巴布亞新幾內亞"
"AYEB","EMS","Embessa機場","Embessa","巴布亞新幾內亞"
"AYEE","EMI","埃米勞機場","埃米勞島，新愛爾蘭省","巴布亞新幾內亞"
"AYEF","EFG","埃福吉機場","埃福吉","巴布亞新幾內亞"
"AYEL","EPT","Eliptamin機場","Eliptamin","巴布亞新幾內亞"
"AYEN","EGA","Engati機場","Engati","巴布亞新幾內亞"
"AYEO","EMO","Emo機場","Emo","巴布亞新幾內亞"
"AYER","ERU","Erume機場","Erume","巴布亞新幾內亞"
"AYET","BOT","Bosset機場","Bosset","巴布亞新幾內亞"
"AYEV","ERE","Erave機場","Erave","巴布亞新幾內亞"
"AYFA","FNE","Fane機場","Fane，中央省","巴布亞新幾內亞"
"AYFE","FRQ","Feramin機場","Feramin","巴布亞新幾內亞"
"AYFI","FIN","芬什港機場","芬什港，莫雷貝省","巴布亞新幾內亞"
"AYFR","FAQ","Frieda河機場","Frieda河，桑道恩省","巴布亞新幾內亞"
"AYGA","GKA","戈羅卡機場","戈羅卡，東高地省","巴布亞新幾內亞"
"AYGC","GEW","Gewois機場","Gewois","巴布亞新幾內亞"
"AYGI","GAR","加賴納機場","加賴納，莫雷貝省","巴布亞新幾內亞"
"AYGP","GAP","Gusap機場","Gusap，莫雷貝省","巴布亞新幾內亞"
"AYGS","GBC","Gasuke機場","Gasuke","巴布亞新幾內亞"
"AYGT","GMI","加斯馬塔機場","加斯馬塔","巴布亞新幾內亞"
"AYGX","GOC","Gora機場","Gora","巴布亞新幾內亞"
"AYKY","LNV","Londolovit","Londolovit","巴布亞新幾內亞"
"AYMD","MAG","Madang","Madang","巴布亞新磯內亞"
"AYNE","GBF","Negarbo機場","Negarbo","巴布亞新幾內亞"
"AYNS","BXZ","Bunsil機場","Bunsil","巴布亞新幾內亞"
"AYPY","POM","Jackson","Port Moresby","巴布亞新磯內亞"
"AYTA","TIZ","塔裡機場","塔裡","巴布亞新幾內亞"
"AYTK","RAB","Lakunai","Rabaul","巴布亞新磯內亞"
"AYUP","GLP","Gulgubip機場","Gulgubip","巴布亞新幾內亞"
"AYWG","AGL","瓦尼蓋拉機場","北部省瓦尼蓋拉","巴布亞新幾內亞"
"BGAM","AGM","安馬赫夏利克直升機場","瑟莫蘇克安馬赫夏利克","格陵蘭"
"BGCO","CNP","Nerlerit Inaat機場","斯科斯比鬆","格陵蘭"
"BGGH","GOH","努克機場","努克","格陵蘭"
"BGKK","KUS","Metropolitan Area","Kulusuk","格林蘭"
"BGTQ","XEQ","Tasiusaq Heliport","Tasiusaq","格陵蘭"
"BIAR","AEY","阿克雷裡機場","東北區阿克雷裡","冰島"
"BIBD","BIU","比爾德達勒機場","西峽灣區比爾德達勒","冰島"
"BIBF","BGJ","Borgarfj<U+00F6>reur機場","Borgarfj<U+00F6>reur","冰島"
"BIBK","BJD","Bakkafj<U+00F6>reur機場","東北區 Bakkafj<U+00F6>reur","冰島"
"BIBL","BLO","布倫迪歐斯機場","西北區布倫迪歐斯","冰島"
"BIBV","BXV","佈雷茲達斯維克機場","東部區佈雷茲達斯維克","冰島"
"BIDV","DJU","都皮沃古爾機場","都皮沃古爾，東部區","冰島"
"BIEG","EGS","埃伊爾斯塔濟機場","埃伊爾斯塔濟，東部區","冰島"
"BIFF","FAS","福斯克魯斯菲厄澤機場","福斯克魯斯菲厄澤，東部區","冰島"
"BIFM","FAG","Fagurholsmyri機場","Fagurholsmyri","冰島"
"BIGJ","GJR","Gj<U+00F6>gur機場","Gj<U+00F6>gur，西峽灣區","冰島"
"BIKF","KEF","凱夫拉維克國際機場","凱夫拉維克","冰島"
"BIRK","RKV","Reykjavik Domestic Airport","雷克亞維克","冰島"
"BIVM","VEY","Vestmannaeyjar Airport","韋斯特曼納群島","冰島"
"BIVO","VPN","Vopnafj<U+00F6>reur Airport","沃普納菲厄澤","冰島"
"CVCZ","YCZ","Fairmont Hot Springs Airport","Fairmont Hot Springs","加拿大"
"CWCI","YCI","Caribou Island Airport","Caribou Island","加拿大"
"CWJU","YLA","Langara Airport","Vancouver-Langara","加拿大"
"CWMT","YLE","Wha Ti Airport","Lac La Martre","加拿大"
"CWPF","YPF","Esquimalt Airport","埃斯奎莫爾特","加拿大"
"CYAC","YAC","Cat Lake Airport","Cat Lake","加拿大"
"CYAG","YAG","弗朗西斯堡市立機場","弗朗西斯堡","加拿大"
"CYAH","YAH","La Grande-4 Airport","Northern Quebec","加拿大"
"CYAL","YAL","Alert Bay Airport","Alert Bay","加拿大"
"CYAM","YAM","蘇聖瑪麗機場","蘇聖瑪麗","加拿大"
"CYAQ","XKS","Kasabonika Airport","Kasabonika First Nation","加拿大"
"CYAS","YKG","Kangirsuk Airport","Kangirsuk","加拿大"
"CYAT","YAT","Attawapiskat Airport","Attawapiskat","加拿大"
"CYAW","YAW","Shearwater Heliport","Shearwater","加拿大"
"CYAY","YAY","St. Anthony Airport","St. Anthony","加拿大"
"CYAZ","YAZ","Tofino Airport","吐芬奴","加拿大"
"CYBA","YBA","Banff Airport","班夫","加拿大"
"CYBB","YBB","Kugaaruk Airport","Kugaaruk","加拿大"
"CYBC","YBC","Baie-Comeau Airport","Baie-Comeau","加拿大"
"CYBE","YBE","Uranium City Airport","Uranium City","加拿大"
"CYBF","YBY","Bonnyville Airport","Bonnyville","加拿大"
"CYBG","YBG","Bagotville Airport","Bagotville","加拿大"
"CYBH","YBH","Bull Harbour Airport","Bull Harbour","加拿大"
"CYBK","YBK","Baker Lake Airport","Baker Lake","加拿大"
"CYBL","YBL","Campbell River Airport","坎貝爾河","加拿大"
"CYBN","YBN","CFB Borden","Borden","加拿大"
"CYBQ","XTL","Tadoule Lake Airport","Tadoule Lake","加拿大"
"CYBR","YBR","Brandon Municipal Airport","布蘭登","加拿大"
"CYBT","YBT","Brochet Airport","Brochet","加拿大"
"CYBV","YBV","Berens River Airport","Berens River","加拿大"
"CYBX","YBX","Lourdes-de-Blanc-Sablon Airport","Lourdes-de-Blanc-Sablon","加拿大"
"CYCA","YRF","Cartwright Airport","Cartwright","加拿大"
"CYCB","YCB","Cambridge Bay Airport","劍橋灣","加拿大"
"CYCC","YCC","Cornwall Regional Airport","康沃爾","加拿大"
"CYCD","YCD","乃磨機場","納奈莫","加拿大"
"CYCE","YCE","Centralia/James T. Field Memorial Aerodrome","Centralia","加拿大"
"CYCG","YCG","West Kootenay Regional Airport (Castlegar Airport)","卡斯爾加","加拿大"
"CYCH","YCH","Miramichi Airport","Miramichi","加拿大"
"CYCL","YCL","Charlo Airport","Charlo","加拿大"
"CYCN","YCN","Cochrane Airport","科克倫","加拿大"
"CYCO","YCO","Kugluktuk Airport","庫格魯克圖克","加拿大"
"CYCP","YCP","Blue River Airport","Blue River","加拿大"
"CYCQ","YCQ","Chetwynd Airport","Chetwynd","加拿大"
"CYCR","YCR","Cross Lake (Charlie Sinclair Memorial) Airport","Cross Lake","加拿大"
"CYCS","YCS","Chesterfield Inlet Airport","Chesterfield Inlet","加拿大"
"CYCT","YCT","Coronation Airport","Coronation","加拿大"
"CYCV","YCV","Cartierville Airport","Cartierville","加拿大"
"CYCW","YCW","Chilliwack Airport","智利域","加拿大"
"CYCX","YCX","CFB Gagetown","Gagetown","加拿大"
"CYCY","YCY","Clyde River Airport","Clyde River","加拿大"
"CYDA","YDA","Dawson City Airport","道森市","加拿大"
"CYDB","YDB","Burwash Airport","伯沃什蘭丁","加拿大"
"CYDF","YDF","Deer Lake Regional Airport","Deer Lake","加拿大"
"CYDK","YDK","Main Duck Island Airport","Main Duck Island","加拿大"
"CYDL","YDL","Dease Lake Airport","Dease Lake","加拿大"
"CYDM","XRR","Ross River Airport","Ross River","加拿大"
"CYDN","YDN","Lt. Col W.G. (Billy) Barker VC Airport","Dauphin","加拿大"
"CYDO","YDO","Dolbeau-Saint-Felicien Airport","Dolbeau-Mistassini","加拿大"
"CYDP","YDP","Nain Airport","Nain","加拿大"
"CYDQ","YDQ","Dawson Creek Airport","道森河市","加拿大"
"CYDR","YDR","Broadview Airport","Broadview","加拿大"
"CYED","YED","CFB Edmonton","艾德蒙頓","加拿大"
"CYEG","YEG","艾德蒙頓國際機場","艾德蒙頓","加拿大"
"CYEK","YEK","Arviat Airport","亞懷亞特","加拿大"
"CYEL","YEL","Elliot Lake Municipal Airport","Elliot Lake","加拿大"
"CYEM","YEM","Manitowaning/Manitoulin East Municipal Airport","Manitowaning","加拿大"
"CYEN","YEN","Estevan Airport","Estevan","加拿大"
"CYEP","YEP","Estevan Point Airport","Estevan Point","加拿大"
"CYER","YER","Fort Severn Airport","Fort Severn","加拿大"
"CYET","YET","Edson Airport","Edson","加拿大"
"CYEU","YEU","Eureka Aerodrome","Eureka","加拿大"
"CYEV","YEV","Inuvik (Mike Zubko) Airport","因紐維克","加拿大"
"CYEY","YEY","Amos/Magny Airport","Amos","加拿大"
"CYFA","YFA","Fort Albany Airport","Fort Albany","加拿大"
"CYFB","YFB","Iqaluit Airport","伊魁特","加拿大"
"CYFC","YFC","Fredericton International Airport","弗雷德裡克頓","加拿大"
"CYFD","YFD","Brantford Airport","布蘭特福德","加拿大"
"CYFE","YFE","Forestville Airport","Forestville","加拿大"
"CYFH","YFH","Fort Hope Airport","Fort Hope","加拿大"
"CYFJ","YTM","Riviere Rouge/Mont-Tremblant International Airport","Mont-Tremblant","加拿大"
"CYFL","YFL","Fort Reliance Airport","Fort Reliance","加拿大"
"CYFO","YFO","Flin Flon Airport","Flin Flon","加拿大"
"CYFR","YFR","Fort Resolution Airport","Fort Resolution","加拿大"
"CYFS","YFS","Fort Simpson Airport","辛普森堡","加拿大"
"CYFT","YMN","Makkovik Airport","Makkovik","加拿大"
"CYGA","YGA","Gagnon Airport","Gagnon","加拿大"
"CYGB","YGB","Texada/Gillies Bay Airport","Texada Island","加拿大"
"CYGH","YGH","Fort Good Hope Airport","Fort Good Hope","加拿大"
"CYGK","YGK","Kingston/Norman Rogers Airport","京士頓","加拿大"
"CYGL","YGL","La Grande Riviere Airport","Radisson","加拿大"
"CYGM","YGM","Gimli Industrial Park Airport","Gimli","加拿大"
"CYGO","YGO","Gods Lake Narrows Airport","Gods Lake Narrows","加拿大"
"CYGP","YGP","Michel-Pouliot Gaspe Airport","Gaspe","加拿大"
"CYGQ","YGQ","Geraldton (Greenstone Regional) Airport","Geraldton","加拿大"
"CYGR","YGR","<U+00CE>les-de-la-Madeleine Airport","<U+00CE>les-de-la-Madeleine","加拿大"
"CYGS","YGS","Germansen Landing Airport","Germansen Landing","加拿大"
"CYGT","YGT","Igloolik Airport","Igloolik","加拿大"
"CYGV","YGV","Havre Saint-Pierre Airport","Havre Saint-Pierre","加拿大"
"CYGW","YGW","Kuujjuarapik Airport","Kuujjuarapik","加拿大"
"CYGX","YGX","Gillam Airport","Gillam","加拿大"
"CYGY","YGY","Deception Airport","Deception","加拿大"
"CYGZ","YGZ","Grise Fiord Airport","Grise Fiord","加拿大"
"CYHA","YQC","Quaqtaq Airport","Quaqtaq","加拿大"
"CYHB","YHB","Hudson Bay Airport","Hudson Bay","加拿大"
"CYHC","CXH","溫哥華港飛行中心","溫哥華，英屬哥倫比亞","加拿大"
"CYHD","YHD","德賴登地區機場","德賴登","加拿大"
"CYHE","YHE","Hope Aerodrome","合普","加拿大"
"CYHF","YHF","Hearst (Rene Fontaine) Municipal Airport","Hearst","加拿大"
"CYHH","YNS","Nemiscau Airport","Nemiscau","加拿大"
"CYHI","YHI","Ulukhaktok/Holman Airport","Ulukhaktok","加拿大"
"CYHK","YHK","Gjoa Haven Airport","Gjoa Haven","加拿大"
"CYHM","YHM","約翰·卡爾·芒羅哈密爾頓國際機場","哈密爾頓","加拿大"
"CYHN","YHN","Hornepayne Municipal Airport","Hornepayne","加拿大"
"CYHO","YHO","Hopedale Airport","Hopedale","加拿大"
"CYHP","YHP","Poplar Hill Airport","Poplar Hill","加拿大"
"CYHR","YHR","Chevery Airport","Chevery","加拿大"
"CYHT","YHT","Haines Junction Airport","Haines Junction","加拿大"
"CYHU","YHU","Montreal/Saint-Hubert Airport","Saint-Hubert","加拿大"
"CYHY","YHY","Hay River/Merlyn Carter Airport","Hay River","加拿大"
"CYHZ","YHZ","哈利法克斯羅伯特·洛恩·斯坦菲爾德國際機場","Enfield","加拿大"
"CYIB","YIB","Atikokan Municipal Airport","Atikokan","加拿大"
"CYID","YDG","Digby/Annapolis Regional Airport","Digby","加拿大"
"CYIF","YIF","Saint-Augustin Airport","Saint-Augustin","加拿大"
"CYIK","YIK","Ivujivik Airport","Ivujivik","加拿大"
"CYIO","YIO","Pond Inlet Airport","Pond Inlet","加拿大"
"CYIV","YIV","Island Lake Airport","Island Lake","加拿大"
"CYJA","YJA","Jasper Airport","賈斯珀","加拿大"
"CYJF","YJF","Fort Liard Airport","Fort Liard","加拿大"
"CYJN","YJN","Saint-Jean Airport","Saint-Jean-sur-Richelieu","加拿大"
"CYJQ","ZEL","Denny Island Aerodrome","Bella Bella","加拿大"
"CYJT","YJT","Stephenville Airport","Stephenville","加拿大"
"CYKA","YKA","甘露機場","甘露市","加拿大"
"CYKC","YKC","Collins Bay Airport","Collins Bay","加拿大"
"CYKF","YKF","滑鐵盧區國際機場","滑鐵盧區","加拿大"
"CYKG","YWB","Wakeham Bay Airport","Kangiqsujuaq","加拿大"
"CYKL","YKL","Schefferville Airport","Schefferville","加拿大"
"CYKO","AKV","阿庫利維克機場","魁北克阿庫利維克","加拿大"
"CYKQ","YKQ","Waskaganish Airport","Waskaganish","加拿大"
"CYKX","YKX","Kirkland Lake Airport","Kirkland Lake","加拿大"
"CYKY","YKY","Kindersley Airport","Kindersley","加拿大"
"CYKZ","YKZ","Toronto/Buttonville Municipal Airport","Buttonville","加拿大"
"CYLA","YPJ","Aupaluk Airport","Aupaluk","加拿大"
"CYLB","YLB","Lac La Biche Airport","Lac La Biche","加拿大"
"CYLC","YLC","Kimmirut Airport","Kimmirut","加拿大"
"CYLD","YLD","Chapleau Airport","Chapleau","加拿大"
"CYLH","YLH","Lansdowne House Airport","Lansdowne House","加拿大"
"CYLJ","YLJ","Meadow Lake Airport","Meadow Lake","加拿大"
"CYLL","YLL","Lloydminster Airport","勞埃德明斯特","加拿大"
"CYLO","YLO","Shilo Airport","Shilo","加拿大"
"CYLP","YLP","Mingan Airport","Mingan","加拿大"
"CYLQ","YLQ","La Tuque Airport","La Tuque","加拿大"
"CYLR","YLR","Leaf Rapids Airport","Leaf Rapids","加拿大"
"CYLT","YLT","Alert Airport","阿勒特","加拿大"
"CYLU","XGR","Kangiqsualujjuaq (Georges River) Airport","Kangiqsualujjuaq","加拿大"
"CYLW","YLW","基隆拿國際機場","基隆拿","加拿大"
"CYMA","YMA","Mayo Airport","Mayo","加拿大"
"CYME","YME","Matane Airport","Matane","加拿大"
"CYMG","YMG","Manitouwadge Airport","Manitouwadge","加拿大"
"CYMH","YMH","Mary's Harbour Airport","Mary's Harbour","加拿大"
"CYMJ","YMJ","CFB Moose Jaw","穆斯喬","加拿大"
"CYML","YML","Charlevoix Airport","Charlevoix","加拿大"
"CYMM","YMM","Fort McMurray Airport","Fort McMurray","加拿大"
"CYMO","YMO","Moosonee Airport","Moosonee","加拿大"
"CYMT","YMT","Chibougamau/Chapais Airport","Chibougamau","加拿大"
"CYMW","YMW","Maniwaki Airport","Maniwaki","加拿大"
"CYMX","YMX","蒙特婁－米拉貝勒國際機場","蒙特婁","加拿大"
"CYNA","YNA","Natashquan Airport","Natashquan","加拿大"
"CYNC","YNC","Wemindji Airport","Wemindji","加拿大"
"CYND","YND","Gatineau-Ottawa Executive Airport","加蒂諾","加拿大"
"CYNE","YNE","Norway House Airport","Norway House","加拿大"
"CYNH","YNH","Hudson's Hope Airport","Hudson's Hope","加拿大"
"CYNI","YNI","Nitchequon Airport","Nitchequon","加拿大"
"CYNL","YNL","Points North Landing Airport","Points North Landing","加拿大"
"CYNM","YNM","Matagami Airport","Matagami","加拿大"
"CYOC","YOC","Old Crow Airport","舊克羅","加拿大"
"CYOD","YOD","CFB Cold Lake","冷湖市","加拿大"
"CYOH","YOH","Oxford House Airport","Oxford House","加拿大"
"CYOJ","YOJ","High Level Airport","High Level","加拿大"
"CYOO","YOO","奧沙華機場","奧沙華","加拿大"
"CYOP","YOP","Rainbow Lake Airport","Rainbow Lake","加拿大"
"CYOS","YOS","Owen Sound/Billy Bishop Regional Airport","歐文桑德","加拿大"
"CYOW","YOW","渥太華麥克唐納－卡蒂埃國際機場","渥太華","加拿大"
"CYOY","YOY","CFB Valcartier","Valcartier","加拿大"
"CYPA","YPA","Prince Albert (Glass Field) Airport","艾伯特親王城","加拿大"
"CYPC","YPC","Paulatuk Airport","Paulatuk","加拿大"
"CYPD","YPS","Port Hawkesbury Airport","Port Hawkesbury","加拿大"
"CYPE","YPE","Peace River Airport","皮斯里弗","加拿大"
"CYPG","YPG","Portage La Prairie/Southport Airport","Portage La Prairie","加拿大"
"CYPH","YPH","Inukjuak Airport","Inukjuak","加拿大"
"CYPL","YPL","Pickle Lake Airport","Pickle Lake","加拿大"
"CYPM","YPM","Pikangikum Airport","Pikangikum","加拿大"
"CYPN","YPN","Port-Menier Airport","Port-Menier","加拿大"
"CYPO","YPO","Peawanuck Airport","Peawanuck","加拿大"
"CYPQ","YPQ","彼得堡機場","彼得堡","加拿大"
"CYPR","YPR","Prince Rupert Airport","魯珀特王子港","加拿大"
"CYPW","YPW","Powell River Airport","Powell River","加拿大"
"CYPX","YPX","Puvirnituq Airport","Puvirnituq","加拿大"
"CYPY","YPY","Fort Chipewyan Airport","Fort Chipewyan","加拿大"
"CYPZ","YPZ","Burns Lake Airport","伯恩斯湖","加拿大"
"CYQA","YQA","Muskoka Airport","Muskoka","加拿大"
"CYQB","YQB","魁北克讓·勒薩熱國際機場","Sainte-Foy","加拿大"
"CYQD","YQD","The Pas Airport","The Pas","加拿大"
"CYQF","YQF","紅鹿地區機場","紅鹿市","加拿大"
"CYQG","YQG","溫莎國際機場","溫莎","加拿大"
"CYQH","YQH","Watson Lake Airport","Watson Lake","加拿大"
"CYQI","YQI","Yarmouth Airport","Yarmouth","加拿大"
"CYQK","YQK","肯諾拉機場","肯諾拉","加拿大"
"CYQL","YQL","Lethbridge County Airport","萊斯布里奇","加拿大"
"CYQM","YQM","Greater Moncton International Airport","蒙克頓","加拿大"
"CYQN","YQN","Nakina Airport","Nakina","加拿大"
"CYQQ","YQQ","CFB Comox","Comox","加拿大"
"CYQR","YQR","Regina International Airport","雷吉納","加拿大"
"CYQS","YQS","St. Thomas Municipal Airport","聖託馬斯","加拿大"
"CYQT","YQT","Thunder Bay Airport","雷灣","加拿大"
"CYQU","YQU","Grande Prairie Airport","大草原城","加拿大"
"CYQV","YQV","Yorkton Municipal Airport","約克頓","加拿大"
"CYQW","YQW","North Battleford (Cameron McIntosh) Airport","北巴特爾福德","加拿大"
"CYQX","YQX","Gander International Airport / CFB Gander","甘德","加拿大"
"CYQY","YQY","Sydney/J.A. Douglas McCurdy Airport","Sydney","加拿大"
"CYQZ","YQZ","Quesnel Airport","Quesnel","加拿大"
"CYRA","YRA","Gameti/Rae Lakes Airport","Gameti","加拿大"
"CYRB","YRB","Resolute Bay Airport","Resolute","加拿大"
"CYRC","YRC","Chicoutimi/Saint-Honore Aerodrome","Chicoutimi","加拿大"
"CYRI","YRI","Riviere-du-Loup Airport","Riviere-du-Loup","加拿大"
"CYRJ","YRJ","Roberval Airport","Roberval","加拿大"
"CYRL","YRL","Red Lake Airport","Red Lake","加拿大"
"CYRM","YRM","Rocky Mountain House Airport","Rocky Mountain House","加拿大"
"CYRO","YRO","Rockcliffe Airport","渥太華","加拿大"
"CYRP","YRP","Carp Airport","Carp","加拿大"
"CYRQ","YRQ","Trois-Rivieres Airport","三河市","加拿大"
"CYRS","YRS","Red Sucker Lake Airport","Red Sucker Lake","加拿大"
"CYRT","YRT","Rankin Inlet Airport","Rankin Inlet","加拿大"
"CYRV","YRV","Revelstoke Airport","Revelstoke","加拿大"
"CYSA","YSA","Sable Island Airport","Sable Island","加拿大"
"CYSB","YSB","Sudbury Airport","大薩德伯裡","加拿大"
"CYSC","YSC","Sherbrooke Airport","舍布魯克","加拿大"
"CYSD","YSD","CFB Suffield","Suffield","加拿大"
"CYSE","YSE","Squamish Airport","Squamish","加拿大"
"CYSF","YSF","Stony Rapids Airport","Stony Rapids","加拿大"
"CYSH","YSH","Smiths Falls-Montague Airport","Smiths Falls","加拿大"
"CYSJ","YSJ","Saint John Airport","聖約翰","加拿大"
"CYSK","YSK","Sanikiluaq Airport","Sanikiluaq","加拿大"
"CYSL","YSL","Saint-Leonard Aerodrome","Saint-Leonard","加拿大"
"CYSM","YSM","Fort Smith Airport","Fort Smith","加拿大"
"CYSN","YCM","St. Catharines/Niagara District Airport","聖凱瑟琳斯","加拿大"
"CYSP","YSP","Marathon Aerodrome","Marathon","加拿大"
"CYSR","YSR","Nanisivik Airport","Nanisivik","加拿大"
"CYST","YST","St. Theresa Point Airport","St. Theresa Point","加拿大"
"CYSU","YSU","Summerside Airport","薩默賽德","加拿大"
"CYSV","YSV","Saglek Airport","Saglek","加拿大"
"CYSY","YSY","Sachs Harbour Airport","Sachs Harbour","加拿大"
"CYTA","YTA","彭布羅克機場","彭布羅克","加拿大"
"CYTE","YTE","Cape Dorset Airport","Cape Dorset","加拿大"
"CYTF","YTF","Alma Airport","Alma","加拿大"
"CYTH","YTH","Thompson Airport","Thompson","加拿大"
"CYTJ","YTJ","Terrace Bay Airport","Terrace Bay","加拿大"
"CYTL","YTL","Big Trout Lake Airport","Big Trout Lake","加拿大"
"CYTQ","YTQ","Tasiujaq Airport","Tasiujaq","加拿大"
"CYTR","YTR","CFB Trenton","Trenton","加拿大"
"CYTS","YTS","Timmins/Victor M. Power Airport","蒂明斯","加拿大"
"CYTZ","YTZ","比利·畢曉普多倫多市機場","多倫多","加拿大"
"CYUB","YUB","Tuktoyaktuk/James Gruben Airport","圖克託亞圖克","加拿大"
"CYUD","YUD","Umiujaq Airport","Umiujaq","加拿大"
"CYUL","YUL","蒙特婁皮埃爾·埃利奧特·特魯多國際機場","Dorval","加拿大"
"CYUT","YUT","Repulse Bay Airport","Repulse Bay","加拿大"
"CYUX","YUX","Hall Beach Airport","Hall Beach","加拿大"
"CYUY","YUY","Rouyn-Noranda Airport","Rouyn-Noranda","加拿大"
"CYVB","YVB","Bonaventure Airport","Bonaventure","加拿大"
"CYVC","YVC","La Ronge (Barber Field) Airport","La Ronge","加拿大"
"CYVG","YVG","Vermilion Airport","Vermilion","加拿大"
"CYVK","YVE","弗農區域機場","弗農","加拿大"
"CYVM","YVM","Qikiqtarjuaq Airport","Qikiqtarjuaq","加拿大"
"CYVO","YVO","Val-d'Or Airport","Val-d'Or","加拿大"
"CYVP","YVP","Kuujjuaq Airport","Kuujjuaq","加拿大"
"CYVQ","YVQ","Norman Wells Airport","Norman Wells","加拿大"
"CYVR","YVR","溫哥華國際機場","溫哥華","加拿大"
"CYVT","YVT","Buffalo Narrows Airport","Buffalo Narrows","加拿大"
"CYVV","YVV","Wiarton Airport","Wiarton","加拿大"
"CYVZ","YVZ","Deer Lake Airport","Deer Lake","加拿大"
"CYWA","YWA","Petawawa Airport","Petawawa","加拿大"
"CYWG","YWG","溫尼伯詹姆斯·阿姆斯特朗·理查森國際機場","溫尼伯","加拿大"
"CYWH","YWH","Victoria Inner Harbour Airport","維多利亞","加拿大"
"CYWJ","YWJ","Deline Airport","Deline","加拿大"
"CYWK","YWK","Wabush Airport","Wabush","加拿大"
"CYWL","YWL","Williams Lake Airport","威廉士湖","加拿大"
"CYWP","YWP","Webequie Airport","Webequie","加拿大"
"CYWR","YWR","White River Airport","White River","加拿大"
"CYWV","YWV","Wainwright Aerodrome","Wainwright","加拿大"
"CYWY","YWY","Wrigley Airport","Wrigley","加拿大"
"CYXC","YXC","Cranbrook/Canadian Rockies International Airport","克蘭布魯克","加拿大"
"CYXD","YXD","Edmonton City Centre (Blatchford Field) Airport","艾德蒙頓","加拿大"
"CYXE","YXE","薩斯卡通約翰·喬治·迪芬貝克國際機場","薩克屯","加拿大"
"CYXH","YXH","Medicine Hat Airport","梅迪辛哈特","加拿大"
"CYXJ","YXJ","Fort St. John Airport","聖約翰堡","加拿大"
"CYXK","YXK","Rimouski Airport","Rimouski","加拿大"
"CYXL","YXL","Sioux Lookout Airport","Sioux Lookout","加拿大"
"CYXN","YXN","Whale Cove Airport","Whale Cove","加拿大"
"CYXP","YXP","Pangnirtung Airport","Pangnirtung","加拿大"
"CYXQ","YXQ","Beaver Creek Airport","河狸溪","加拿大"
"CYXR","YXR","Earlton - Timiskaming Regional Airport","Earlton","加拿大"
"CYXS","YXS","喬治皇子城機場","喬治王子城","加拿大"
"CYXT","YXT","Northwest Regional Airport","Terrace/Kitimat","加拿大"
