"ICAO","IATA","airport","city","nation"
"WBGW","LWY","Lawas","Lawas","馬來西亞"
"WBGZ","BBN","巴里奧機場","砂拉越巴里奧","馬來西亞"
"WBKA","SMM","Semporna","Semporna","馬來西亞"
"WBKD","LDU","Lahad Datu","Lahad Datu","馬來西亞"
"WBKK","BKI","亞庇國際機場","沙巴亞庇","馬來西亞"
"WBKL","LBU","","Labuan","馬來西亞"
"WBKS","SDK","山打根機場","山打根","馬來西亞"
"WBMU","MZV","Mulu Airport","Mulu","馬來西亞"
"WBSB","BWN","汶萊國際機場","汶萊摩拉縣斯里巴加灣市","文萊"
"WIAG","AKQ","內山機場","阿斯特拉克斯特拉，南蘇門答臘省","印尼"
"WIBB","PKU","Simpang Tiga","Pekanbaru","印度尼西亞"
"WIBD","DUM","Pinang Kampai機場","杜邁，廖內省","印尼"
"WICC","BDO","萬隆國際機場","西爪哇省萬隆","印尼"
"WICD","CBN","Penggung機場","井裡汶，西爪哇省","印尼"
"WIDD","BTH","韓那丁國際機場","廖內群島省巴淡島","印尼"
"WIHL","CXP","Tunggul Wulung機場","芝拉扎","印尼"
"WIII","CGK","蘇加諾-哈達國際機場","雅加達","印尼"
"WIMB","GNS","Binaka機場","古農西託利","印尼"
"WIME","AEG","埃克·古當機場","北蘇門答臘省巴東石林潘","印尼"
"WIMK","MES","Polonia","Medan","印度尼西亞"
"WIMN","DTB","Silangit機場","錫博龍博龍","印尼"
"WIMS","FLZ","Ferdinand Lumban Tobing機場","實武牙，北蘇門答臘省","印尼"
"WIOO","PNK","Supadio","Pontianak","印度尼西亞"
"WIPA","DJB","Thaha蘇丹機場","佔碑市，佔碑省","印尼"
"WIPL","BKS","Fatmawati蘇加諾機場","明古魯省明古魯市","印尼"
"WIPP","PLM","Sultan Mahmud Badaruddin Ii","Palembang","印度尼西亞"
"WIPT","PDG","Tabing","Padang","印度尼西亞"
"WITT","BTJ","班達亞齊機場","亞齊特區班達亞齊","印尼"
"WMKA","AOR","吉打州蘇丹阿都哈林機場","亞羅士打","馬來西亞"
"WMKB","BWH","北海馬來西亞皇家空軍基地","檳城北海","馬來西亞"
"WMKC","KBR","Sultan Ismail Petra","哥打峇魯","馬來西亞"
"WMKD","KUA","Padang Geroda","關丹","馬來西亞"
"WMKI","IPH","怡保","怡保","馬來西亞"
"WMKJ","JHB","Sultan Ismail International","Johor Bahru","馬來西亞"
"WMKK","KUL","吉隆坡國際機場","雪邦","馬來西亞"
"WMKL","LGK","蘭卡威國際機場","蘭卡威","馬來西亞"
"WMKP","PEN","檳城國際機場","檳城","馬來西亞"
"WMSA","SZB","梳邦機場","梳邦","馬來西亞"
"WPAT","AUT","阿陶羅機場","帝力區阿陶羅島","東帝汶"
"WPDL","DIL","尼古勞·洛巴託總統國際機場","帝力，帝力區","東帝汶"
"WPEC","BCH","包考機場","包考區包考","東帝汶"
"WPVQ","VIQ","Viqueque Airport","維剋剋","東帝汶"
"WRKB","BJW","Turelelo Soa機場","東努沙登加拉省 Bajara","印尼"
"WSAT","TGA","登加機場","新加坡","新加坡"
"WSSL","XSP","實裡達機場","新加坡","新加坡"
"WSSS","SIN","樟宜機場","新加坡","新加坡"
"YABA","ALH","奧爾巴尼機場","西澳大利亞州奧班尼","澳大利亞"
"YABI","ABG","阿賓登機場","阿賓登，昆士蘭州","澳大利亞"
"YAGD","AUD","奧古斯塔山機場","奧古斯塔山，昆士蘭州","澳大利亞"
"YAMC","AXC","阿拉馬克機場","昆士蘭州阿拉馬克","澳大利亞"
"YAMK","ADO","安達穆卡機場","南澳大利亞州安達穆卡","澳大利亞"
"YAMT","AMT","Amata機場","Amata，北領地","澳大利亞"
"YAPH","ABH","阿爾法機場","昆士蘭州阿爾法","澳大利亞"
"YARA","ARY","亞拉拉特機場","維多利亞州亞拉拉特","澳大利亞"
"YARM","ARM","阿米代爾機場","新南威爾斯州阿米代爾","澳大利亞"
"YARY","AAB","阿拉貝裡機場","昆士蘭州阿拉貝裡","澳大利亞"
"YAUR","AUU","歐魯昆機場","昆士蘭州歐魯昆","澳大利亞"
"YAUV","AVG","奧弗涅機場","奧弗涅","澳大利亞"
"YAYE","AYQ","艾爾斯巖機場","北領地Yulara","澳大利亞"
"YAYR","AYR","艾爾機場","艾爾，昆士蘭州","澳大利亞"
"YBAR","BCI","巴卡爾丁機場","昆士蘭州"""" 巴卡爾丁","澳大利亞"
"YBAS","ASP","北領地愛麗斯泉機場","愛麗斯泉","澳大利亞"
"YBAU","BDD","巴都島機場","昆士蘭州 巴都島","澳大利亞"
"YBAW","BKP","Barkly Downs機場","Barkly Downs，昆士蘭州","澳大利亞"
"YBBN","BNE","布里斯班機場","昆士蘭州布里斯班","澳大利亞"
"YBCK","BKQ","佈雷蔻機場","昆士蘭州 佈雷蔻","澳大利亞"
"YBCS","CNS","凱恩斯機場","凱恩斯，昆士蘭州","澳大利亞"
"YBCV","CTL","查爾維爾機場","查爾維爾","澳大利亞"
"YBDF","BDW","貝特福德山機場","西澳洲 貝特福德山","澳大利亞"
"YBDG","BXG","本迪戈機場","維多利亞州本迪戈","澳大利亞"
"YBDI","DRN","迪蘭班代機場","迪蘭班代","澳大利亞"
"YBDV","BVI","伯茲維爾機場","昆士蘭州 伯茲維爾","澳大利亞"
"YBEB","BXF","Bellburn機場","西澳洲 Bellburn Camps","澳大利亞"
"YBEO","BTX","Beetoota機場","昆士蘭州"""" Beetoota","澳大利亞"
"YBGO","BQW","Balgo山機場","西澳洲"""" Balgo","澳大利亞"
"YBHI","BHQ","布羅肯希爾機場","新南威爾士州布羅肯希爾","澳大利亞"
"YBIE","BEU","貝杜裡機場","昆士蘭州"""" 貝杜裡","澳大利亞"
"YBKE","BRK","Bourke機場","新南威爾士州"""" Bourke","澳大利亞"
"YBKT","BUC","伯克敦機場","昆士蘭州"""" 伯克敦","澳大利亞"
"YBLA","BLN","貝納拉機場","維多利亞州 貝納拉","澳大利亞"
"YBLL","BLS","博倫機場","昆士蘭州"""" 博倫","澳大利亞"
"YBLN","BQB","Busselton支線機場","西澳洲 Busselton","澳大利亞"
"YBMK","MKY","Mackay","Mackay","澳大利亞"
"YBNA","BNK","巴利納機場","新南威爾士州"""" 巴利納","澳大利亞"
"YBNS","BSJ","Bairnsdale機場","維多利亞州"""" Bairnsdale","澳大利亞"
"YBOI","GIC","玻古島機場","玻古島","澳大利亞"
"YBOU","BQL","Boulia機場","昆士蘭州"""" Boulia","澳大利亞"
"YBPI","BMP","布蘭普頓島機場","昆士蘭州 布蘭普頓島","澳大利亞"
"YBRL","BOX","Borroloola機場","北領地 Borroloola","澳大利亞"
"YBRM","BME","布魯姆國際機場","西澳洲布魯姆","澳大利亞"
"YBRN","BZD","巴爾拉納德機場","新南威爾士州 巴爾拉納德","澳大利亞"
"YBRW","BWQ","佈雷沃裡納機場","新南威爾士州"""" 佈雷沃裡納","澳大利亞"
"YBRY","BYP","Barimunya機場","西澳洲 Barimunya","澳大利亞"
"YBTH","BHS","巴瑟斯特機場","新南威爾士州巴瑟斯特","澳大利亞"
"YBTI","BRT","巴瑟斯特島機場","北領地巴瑟斯特島","澳大利亞"
"YBTL","TSV","Townsville","Townsville, 昆士蘭省","澳大利亞"
"YBTR","BLT","黑水機場","昆士蘭州"""" 黑水","澳大利亞"
"YBUD","BDB","班德堡機場","昆士蘭州班德堡","澳大利亞"
"YBUN","BUY","班伯利機場","西澳洲班伯利","澳大利亞"
"YBWN","ZBO","Bowen Airport","Bowen","澳大利亞"
"YBWP","WEI","Weipa Airport","Weipa","澳洲"
"YBWX","BWB","巴羅島機場","西澳洲巴羅島","澳大利亞"
"YBYS","BVZ","貝佛利泉機場","西澳洲 貝佛利泉","澳大利亞"
"YCAG","CGV","Caiguna機場","Caiguna","澳大利亞"
