"ICAO","IATA","long","lat"
"MO61",NA,-93.6419,36.5584
"MO64",NA,-93.4446,36.6098
"MO65",NA,-93.103,36.5834
"MO71",NA,-94.4183,39.4631
"MO74",NA,-92.169601,38.922298
"MO75",NA,-94.0533,38.305
"MO78",NA,-91.7835,38.3167
"MO79",NA,-90.7154,37.6792
"MO81",NA,-90.6148,37.6709
"MO82",NA,-92.0568,40.4089
"MO84",NA,-91.1335,37.7167
"MO86",NA,-91.3039,38.9597
"MO87",NA,-94.1619,38.9458
"MO88",NA,-92.0093,39.1
"MO93",NA,-91.1481,39.0448
"MO94",NA,-94.5802,39.5
"MO98",NA,-94.584999,38.7131
"MO99",NA,-93.0771,38.1164
"MPTO","PTY",-79.383499,9.07136
"MROC","SJO",-84.208801,9.99386
"MRPV","SYQ",-84.139801,9.95705
"MS00",NA,-89.915298,34.988899
"MS62",NA,-89.815598,34.991199
"MS64",NA,-89.877992,34.848342
"MS65",NA,-90.200104,34.9501
"MSD",NA,-111.476,39.5267
"MSLP","SAL",-89.055702,13.4409
"MU00",NA,-91.951797,39.4445
"MU02",NA,-91.1035,38.8098
"MU07",NA,-94.3102,38.3947
"MU09",NA,-95.0211,40.4667
"MU11",NA,-93.0155,38.2209
"MU13",NA,-93.601,37.0598
"MU18",NA,-91.1474,38.7806
"MU19",NA,-93.4002,37.551701
"MU20",NA,-93.9647,38.9456
"MU21",NA,-91.5177,38.5237
"MU24",NA,-93.0368,36.5717
"MU26",NA,-94.5653,38.773102
"MU27",NA,-93.929398,37.468102
"MU35",NA,-94.7866,40.2675
"MU38",NA,-93.131678,40.17888
"MU40",NA,-92.010399,39.460602
"MU41",NA,-93.8878,36.7867
"MU42",NA,-90.7871,38.7528
"MU55",NA,-94.1738,38.1367
"MU62",NA,-94.5911,38.5633
"MU65",NA,-90.4657,37.7695
"MU68",NA,-91.536,38.6689
"MU69",NA,-93.626,37.8695
"MU71",NA,-94.858002,39.3475
"MU78",NA,-92.188933,37.847964
"MU84",NA,-94.2294,38.8995
"MU85",NA,-94.1274,38.955
"MU89",NA,-91.0357,38.912
"MU97",NA,-94.761703,39.3675
"MU98",NA,-93.6836,36.5181
"MUHA","HAV",-82.409103,22.989201
"MY00",NA,-94.493896,43.8941
"MY01",NA,-96.752602,48.145802
"MY03",NA,-94.6405,44.2816
"MY07",NA,-96.606499,46.583302
"MY10",NA,-91.681503,43.5611
"MY15",NA,-93.9894,45.9558
"MY18",NA,-93.1305,45.1872
"MY25",NA,-96.331497,46.279999
"MY28",NA,-92.9631,45.5798
"MY35",NA,-92.8177,44.9335
"MY37",NA,-92.246554,43.981076
"MY43",NA,-93.3894,45.4027
"MY46",NA,-94.2133,44.2792
"MY47",NA,-94.2108,45.6047
"MY50",NA,-92.361298,44.502701
"MY52",NA,-93.0441,44.7186
"MY55",NA,-94.2753,46.4197
"MY57",NA,-94.4575,45.7633
"MY58",NA,-95.925301,45.2388
"MY60",NA,-95.619797,46.502701
"MY66",NA,-93.8472,46.0705
"MY72",NA,-93.4613,46.1597
"MY78",NA,-92.9863,45.4291
"MY82",NA,-93.0747,45.213
"MY88",NA,-94.983101,46.857498
"MY89",NA,-92.9058,45.9083
"MY90",NA,-92.9885,45.4822
"MY92",NA,-93.2883,45.7286
"MY95",NA,-93.3828,45.4464
"MY97",NA,-93.1269,44.598
"MYAN","SAQ",-78.049004,25.053801
"MYAT","TCB",-77.391296,26.7453
"MYAW","WKR",-78.399696,27.266701
"MYBO",NA,-79.209471,25.422916
"MYBS","BIM",-79.264702,25.6999
"MYBT",NA,-77.885201,25.7787
"MYCC","CXY",-79.275151,25.554555
"MYGD",NA,-77.9217,26.631701
"MYGF","FPO",-78.695602,26.558701
"MYGM","GBI",-78.3592,26.631901
"MYGW","WTD",-78.974998,26.685301
"MYNN","NAS",-77.466202,25.039
"N52",NA,-80.748,34.8638
"N69",NA,-73.7324,41.577
"N87",NA,-74.6018,40.2139
"N89",NA,-74.3774,41.7279
"NA65",NA,-97.628098,48.531399
"NA67",NA,-97.4645,48.983898
"NC00",NA,-79.1936,35.56
"NC01",NA,-76.327103,36.096199
"NC03",NA,-79.9873,35.9085
"NC05",NA,-80.7942,35.4087
"NC06",NA,-81.896797,36.1604
"NC08",NA,-83.7363,35.0854
"NC10",NA,-78.058,36.5418
"NC11",NA,-78.9247,35.7415
"NC13",NA,-79.6706,35.7515
"NC14",NA,-81.639503,36.1968
"NC16",NA,-82.7268,35.2226
"NC19",NA,-80.5756,35.3918
"NC21",NA,-80.748398,34.991798
"NC22",NA,-78.555199,35.227501
"NC25",NA,-80.3112,35.509
"NC27",NA,-81.490097,35.944599
"NC28",NA,-76.2358,36.2002
"NC29",NA,-80.5976,35.6201
"NC31",NA,-80.0242,35.7649
"NC32",NA,-80.4364,36.0258
"NC34",NA,-79.1247,35.9704
"NC35",NA,-80.622002,35.402901
"NC37",NA,-79.8411,36.3401
"NC39",NA,-80.647797,35.5243
"NC40",NA,-79.1186,36.4997
"NC42",NA,-80.6998,36.0721
"NC44",NA,-78.6839,35.4669
"NC45",NA,-77.637497,36.217201
"NC49",NA,-77.196701,35.527802
"NC52",NA,-81.728996,35.7285
"NC54",NA,-76.356598,34.877701
"NC56",NA,-78.4689,36.2047
"NC58",NA,-81.120102,35.921001
"NC59",NA,-81.143997,35.8507
